Protocol,Experiment,Run,Samples_N,Samples_N_eff,Vshunt_Mean_V,Vshunt_Median_V,Vshunt_Std_V,Vshunt_Max_V,Vshunt_Min_V,Vshunt_Combined_Uncert_V,Current_Mean_mA,Current_Median_mA,Current_Std_mA,Current_Max_mA,Current_Min_mA,Power_Mean_mW,Power_Std_mW,Power_Rel_Uncert_pct
wifi,chunk,esp32_chunked_1460_run02.csv,40064,134.6912637433,0.1070193437,0.1073020000,0.0026827272,0.1170560000,0.0947174000,0.0002313949,94.3266657009,94.5757934186,2.3645029402,103.1727769826,83.4839747432,473.5556116249,11.8707009064,0.2163341084
wifi,chunk,esp32_chunked_1460_run03.csv,37746,210.6409899050,0.1073700325,0.1073040000,0.0012996480,0.1160200000,0.0970627000,0.0000901636,94.6357559236,94.5775561792,1.1454841287,102.2596669793,85.5510759891,475.1073616879,5.7507644643,0.0842734702
wifi,chunk,esp32_chunked_1460_run17.csv,36289,579.2732484697,0.1066416258,0.1068380000,0.0024892799,0.1178330000,0.0019798700,0.0001039546,93.9937526288,94.1668329538,2.1940023264,103.8576094851,1.7469416103,471.8842618289,11.0147232055,0.0977379157
wifi,chunk,esp32_chunked_1460_run13.csv,34415,121.3538836933,0.1072812464,0.1074870000,0.0028069260,0.1232440000,0.0949523000,0.0002550196,94.5575015694,94.7388487763,2.4739693484,108.6267583537,83.6910109785,474.7144951714,12.4202637634,0.2378169823
wifi,chunk,esp32_chunked_1460_run07.csv,36295,151.4099335764,0.1071772024,0.1073640000,0.0026029445,0.1236300000,0.0948066000,0.0002117984,94.4657992707,94.6304389979,2.2941839930,108.9669711542,83.5625938670,474.2541148770,11.5176731408,0.1977423354
wifi,chunk,esp32_chunked_1460_run06.csv,39809,72.2776985319,0.1064418977,0.1074120000,0.0039245597,0.1198120000,0.0948815000,0.0004617427,93.8177161752,94.6727452529,3.4590296423,105.6018611227,83.6286092524,471.0004921141,17.3656397767,0.4338558214
wifi,chunk,esp32_chunked_1460_run12.csv,34711,115.5400987946,0.1070119720,0.1073740000,0.0029434941,0.1177140000,0.0949102000,0.0002740409,94.3201684242,94.6392528010,2.5943377586,103.7527252279,83.6539048673,473.5229928334,13.0245588023,0.2561825125
wifi,chunk,esp32_chunked_1460_run04.csv,37952,175.4712031383,0.1074011838,0.1074570000,0.0021894288,0.1223320000,0.0948977000,0.0001656175,94.6632120305,94.7124073669,1.9297194524,107.8229395091,83.6428876134,475.2452017506,9.6879230145,0.1543675244
wifi,chunk,esp32_chunked_1460_run10.csv,40362,114.9916319996,0.1069625712,0.1073080000,0.0029946375,0.1185070000,0.0948284000,0.0002794585,94.2766275705,94.5810817004,2.6394144920,104.4516598154,83.5818079578,473.3044012460,13.2508610881,0.2613637448
wifi,chunk,esp32_chunked_1460_run11.csv,36076,131.8364146929,0.1069902723,0.1073650000,0.0028590213,0.1200050000,0.0948998000,0.0002492211,94.3010427954,94.6313203782,2.5198850869,105.7719675229,83.6447385121,473.4269749280,12.6507781727,0.2330460309
