# INFO
Calibration: R=1.134584Ohm, Offset=-0.0022mV, Vsrc=5.020379V, Logic=7.5xAboveBelowMinNeighbor
# EVENTS
run,payload_size,declared_size,bytes_received,tx_start,rx_end,complete,verified,skip_reason

# OVERVIEW
22,1,1,1,2026-04-15T15:44:30.020,2026-04-15T15:44:30.739,True,True,
22,2,2,2,2026-04-15T15:44:31.744,2026-04-15T15:44:32.330,True,True,
22,4,4,4,2026-04-15T15:44:33.333,2026-04-15T15:44:33.916,True,True,
22,8,8,8,2026-04-15T15:44:34.917,2026-04-15T15:44:35.478,True,True,
22,16,16,16,2026-04-15T15:44:36.480,2026-04-15T15:44:37.067,True,True,
22,32,32,32,2026-04-15T15:44:38.069,2026-04-15T15:44:38.662,True,True,
22,64,64,64,2026-04-15T15:44:39.664,2026-04-15T15:44:40.250,True,True,
22,128,128,128,2026-04-15T15:44:41.251,2026-04-15T15:44:41.837,True,True,
22,256,256,256,2026-04-15T15:44:42.839,2026-04-15T15:44:43.457,True,True,
22,512,512,512,2026-04-15T15:44:44.459,2026-04-15T15:44:45.137,True,True,
22,1024,1024,1024,2026-04-15T15:44:46.138,2026-04-15T15:44:46.937,True,True,
22,2048,2048,2048,2026-04-15T15:44:47.940,2026-04-15T15:44:48.917,True,True,
22,4096,4096,4096,2026-04-15T15:44:49.918,2026-04-15T15:44:51.317,True,True,
22,8192,8192,8192,2026-04-15T15:44:52.319,2026-04-15T15:44:54.556,True,True,
22,16384,16384,16384,2026-04-15T15:44:55.558,2026-04-15T15:44:59.535,True,True,
22,32768,32768,32768,2026-04-15T15:45:00.539,2026-04-15T15:45:07.907,True,True,
22,65536,65536,65536,2026-04-15T15:45:08.910,2026-04-15T15:45:23.026,True,True,
# METER
2026-04-15T15:44:23.284,0.009701420,baseline,0.008552564
2026-04-15T15:44:23.286,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.290,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.294,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.297,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.300,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.302,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.305,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.308,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.311,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.314,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.317,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.320,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.322,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.328,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.330,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.333,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.336,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.338,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.341,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.344,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.346,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.349,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.352,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.355,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.357,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.360,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.364,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.366,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.368,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.371,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.374,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.377,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.379,0.005054350,baseline,0.004456728
2026-04-15T15:44:23.397,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.399,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.402,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.405,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.407,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.410,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.413,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.415,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.418,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.421,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.423,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.426,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.429,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.431,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.434,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.437,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.439,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.445,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.449,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.451,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.465,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.469,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.470,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.473,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.476,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.478,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.490,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.493,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.496,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.498,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.506,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.511,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.513,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.529,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.530,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.532,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.535,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.537,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.540,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.543,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.545,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.548,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.551,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.554,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.556,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.564,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.567,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.569,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.572,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.586,0.004689040,baseline,0.004134751
2026-04-15T15:44:23.588,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.591,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.594,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.597,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.599,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.602,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.605,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.607,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.610,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.620,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.621,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.627,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.628,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.630,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.635,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.636,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.638,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.641,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.644,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.646,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.649,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.652,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.656,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.660,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.661,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.663,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.666,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.669,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.677,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.680,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.685,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.688,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.690,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.693,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.697,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.699,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.701,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.704,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.707,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.710,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.715,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.716,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.719,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.721,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.724,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.727,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.729,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.735,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.737,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.740,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.743,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.747,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.748,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.751,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.754,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.756,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.759,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.761,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.764,0.005157000,baseline,0.004547201
2026-04-15T15:44:23.774,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.776,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.780,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.787,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.789,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.796,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.799,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.802,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.804,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.807,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.810,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.812,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.815,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.818,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.820,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.823,0.004789660,baseline,0.004223435
2026-04-15T15:44:23.826,0.004789660,baseline,0.004223435
