timestamp,V_shunt,experiment_start
2026-03-24T16:36:07.349299,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.353858,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.357061,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.361311,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.364465,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.368281,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.372091,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.376258,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.385370,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.389419,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.393330,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.397238,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.401483,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.405696,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.408949,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.412780,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.416641,6.52032000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.423957,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.427740,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.431692,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.435738,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.441740,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.446708,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.450911,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.454046,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.457812,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.461710,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.465793,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.468984,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.472729,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.476613,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.484108,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.488030,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.491795,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.495941,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.502766,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.506596,6.52013000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:07.510721,6.52013000E-02,2026-03-24T16:36:06.296566
