run,23
session,20260422_182825


# EVENTS
1,2026-04-22T18:35:46.420,2026-04-22T18:35:46.427,2026-04-22T18:35:46.455,35.000,True
2,2026-04-22T18:35:47.607,2026-04-22T18:35:47.615,2026-04-22T18:35:47.642,35.000,True
4,2026-04-22T18:35:48.801,2026-04-22T18:35:48.809,2026-04-22T18:35:48.837,36.000,True
8,2026-04-22T18:35:49.991,2026-04-22T18:35:50.003,2026-04-22T18:35:50.041,50.000,True
16,2026-04-22T18:35:51.199,2026-04-22T18:35:51.223,2026-04-22T18:35:51.268,69.000,True
32,2026-04-22T18:35:52.447,2026-04-22T18:35:52.472,2026-04-22T18:35:52.545,98.000,True
64,2026-04-22T18:35:53.696,2026-04-22T18:35:53.737,2026-04-22T18:35:53.857,161.000,True
128,2026-04-22T18:35:55.011,2026-04-22T18:35:55.087,2026-04-22T18:35:55.298,287.000,True
220,2026-04-22T18:35:56.456,2026-04-22T18:35:56.582,2026-04-22T18:35:56.927,471.000,True

# RESULTS
Index, Phase, Mean_V, Std_V, Count
0,baseline,0.035543384,0.000008372,1283
1,idle,0.043697513,0.021856060,2201
2,tx_1,0.035551636,0.000000849,39
3,tx_128,0.035524799,0.000002817,108
4,tx_16,0.035514200,0.000000000,45
5,tx_2,0.035511390,0.000005127,49
6,tx_220,0.039252463,0.015383919,107
7,tx_32,0.035524304,0.000002356,53
8,tx_4,0.035520072,0.000002336,50
9,tx_64,0.035523074,0.000003926,76
10,tx_8,0.035523366,0.000004668,53

# METER
timestamp,v_shunt,phase,current,power_phase
2026-04-22 18:35:41.263000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.266000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.270000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.277000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.280000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.283000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.287000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.290000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.293000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.297000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.300000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.304000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.307000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.310000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.319000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.322000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.325000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.328000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.331000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.335000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.338000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.341000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.345000,0.035554000,baseline,0.031338519,idle
2026-04-22 18:35:41.349000,0.035554000,baseline,0.031338519,idle
