run,19
session,20260422_182825


# EVENTS
1,2026-04-22T18:34:31.843,2026-04-22T18:34:31.850,2026-04-22T18:34:31.878,35.000,True
2,2026-04-22T18:34:33.034,2026-04-22T18:34:33.042,2026-04-22T18:34:33.075,41.000,True
4,2026-04-22T18:34:34.229,2026-04-22T18:34:34.237,2026-04-22T18:34:34.265,36.000,True
8,2026-04-22T18:34:35.420,2026-04-22T18:34:35.431,2026-04-22T18:34:35.469,49.000,True
16,2026-04-22T18:34:36.628,2026-04-22T18:34:36.644,2026-04-22T18:34:36.691,63.000,True
32,2026-04-22T18:34:37.847,2026-04-22T18:34:37.871,2026-04-22T18:34:37.940,93.000,True
64,2026-04-22T18:34:39.093,2026-04-22T18:34:39.135,2026-04-22T18:34:39.254,161.000,True
128,2026-04-22T18:34:40.405,2026-04-22T18:34:40.481,2026-04-22T18:34:40.693,288.000,True
220,2026-04-22T18:34:41.852,2026-04-22T18:34:41.978,2026-04-22T18:34:42.328,476.000,True

# RESULTS
Index, Phase, Mean_V, Std_V, Count
0,baseline,0.035539997,0.000004710,1226
1,idle,0.044841311,0.024896136,2291
2,tx_1,0.035538226,0.000000177,46
3,tx_128,0.035529836,0.000019743,121
4,tx_16,0.035526032,0.000001857,53
5,tx_2,0.035530600,0.000000000,51
6,tx_220,0.047768352,0.014025310,168
7,tx_32,0.035527071,0.000001000,63
8,tx_4,0.035508288,0.000000614,49
9,tx_64,0.035515991,0.000001642,82
10,tx_8,0.035511829,0.000004093,51

# METER
timestamp,v_shunt,phase,current,power_phase
2026-04-22 18:34:26.689000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.692000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.696000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.699000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.702000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.706000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.710000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.719000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.726000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.729000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.740000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.743000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.746000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.749000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.755000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.758000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.761000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.764000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.767000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.771000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.774000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.778000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.784000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.787000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.795000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.798000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.801000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.805000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.808000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.811000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.814000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.818000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.823000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.826000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.829000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.833000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.836000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.840000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.843000,0.035548700,baseline,0.031333847,idle
2026-04-22 18:34:26.856000,0.035547700,baseline,0.031332966,idle
2026-04-22 18:34:26.860000,0.035547700,baseline,0.031332966,idle
