run,8
session,20260422_182825


# EVENTS
1,2026-04-22T18:31:06.501,2026-04-22T18:31:06.508,2026-04-22T18:31:06.536,35.000,True
2,2026-04-22T18:31:07.692,2026-04-22T18:31:07.700,2026-04-22T18:31:07.733,41.000,True
4,2026-04-22T18:31:08.887,2026-04-22T18:31:08.896,2026-04-22T18:31:08.923,36.000,True
8,2026-04-22T18:31:10.076,2026-04-22T18:31:10.087,2026-04-22T18:31:10.126,50.000,True
16,2026-04-22T18:31:11.276,2026-04-22T18:31:11.291,2026-04-22T18:31:11.345,69.000,True
32,2026-04-22T18:31:12.501,2026-04-22T18:31:12.524,2026-04-22T18:31:12.593,92.000,True
64,2026-04-22T18:31:13.748,2026-04-22T18:31:13.789,2026-04-22T18:31:13.909,161.000,True
128,2026-04-22T18:31:15.066,2026-04-22T18:31:15.152,2026-04-22T18:31:15.355,289.000,True
220,2026-04-22T18:31:16.511,2026-04-22T18:31:16.636,2026-04-22T18:31:16.981,470.000,True

# RESULTS
Index, Phase, Mean_V, Std_V, Count
0,baseline,0.035549590,0.000007741,1018
1,idle,0.044461987,0.026422841,1996
2,tx_1,0.035548832,0.000000355,38
3,tx_128,0.036512750,0.001139807,91
4,tx_16,0.035518392,0.000000384,60
5,tx_2,0.035516197,0.000002232,40
6,tx_220,0.065655081,0.040566385,126
7,tx_32,0.035517150,0.000003040,41
8,tx_4,0.035519084,0.000002107,47
9,tx_64,0.035507813,0.000009215,51
10,tx_8,0.035523391,0.000005277,47

# METER
timestamp,v_shunt,phase,current,power_phase
2026-04-22 18:31:01.356000,0.035546782,baseline,0.031330234,idle
2026-04-22 18:31:01.370000,0.035546782,baseline,0.031330234,idle
2026-04-22 18:31:01.385000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.388000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.392000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.405000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.414000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.418000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.421000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.437000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.441000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.451000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.454000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.457000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.460000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.464000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.474000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.477000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.481000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.484000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.490000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.493000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.497000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.500000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.503000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.507000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.510000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.513000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.517000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.521000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.530000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.533000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.539000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.545000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.550000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.554000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.559000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.564000,0.035554982,baseline,0.031337461,idle
2026-04-22 18:31:01.584000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.587000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.590000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.597000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.602000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.614000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.619000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.622000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.625000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.632000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.635000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.638000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.641000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.648000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.655000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.671000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.675000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.682000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.685000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.689000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.692000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.696000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.699000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.702000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.706000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.709000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.712000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.715000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.719000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.724000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.727000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.731000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.734000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.738000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.741000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.745000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.748000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.753000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.756000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.765000,0.035539382,baseline,0.031323712,idle
2026-04-22 18:31:01.770000,0.035542282,baseline,0.031326268,idle
2026-04-22 18:31:01.777000,0.035542282,baseline,0.031326268,idle
2026-04-22 18:31:01.784000,0.035542282,baseline,0.031326268,idle
2026-04-22 18:31:01.788000,0.035542282,baseline,0.031326268,idle
2026-04-22 18:31:01.791000,0.035542282,baseline,0.031326268,idle
