run,1
session,20260422_182825


# EVENTS
1,2026-04-22T18:28:55.701,2026-04-22T18:28:55.708,2026-04-22T18:28:55.736,35.000,True
2,2026-04-22T18:28:56.893,2026-04-22T18:28:56.900,2026-04-22T18:28:56.928,35.000,True
4,2026-04-22T18:28:58.085,2026-04-22T18:28:58.094,2026-04-22T18:28:58.127,42.000,True
8,2026-04-22T18:28:59.280,2026-04-22T18:28:59.291,2026-04-22T18:28:59.329,49.000,True
16,2026-04-22T18:29:00.480,2026-04-22T18:29:00.495,2026-04-22T18:29:00.548,68.000,True
32,2026-04-22T18:29:01.705,2026-04-22T18:29:01.729,2026-04-22T18:29:01.798,93.000,True
64,2026-04-22T18:29:02.950,2026-04-22T18:29:02.991,2026-04-22T18:29:03.111,161.000,True
128,2026-04-22T18:29:04.265,2026-04-22T18:29:04.341,2026-04-22T18:29:04.558,293.000,True
220,2026-04-22T18:29:05.712,2026-04-22T18:29:05.838,2026-04-22T18:29:06.183,471.000,True

# RESULTS
Index, Phase, Mean_V, Std_V, Count
0,baseline,0.035551089,0.000006730,1311
1,idle,0.047693974,0.024060520,2170
2,tx_1,0.035548706,0.000000066,49
3,tx_128,0.047803552,0.026898570,115
4,tx_16,0.035509370,0.000005609,59
5,tx_2,0.035516170,0.000007939,49
6,tx_220,0.055122583,0.041885575,167
7,tx_32,0.035512715,0.000000809,51
8,tx_4,0.035517363,0.000004099,52
9,tx_64,0.035516960,0.000001346,63
10,tx_8,0.035522550,0.000000481,50

# METER
timestamp,v_shunt,phase,current,power_phase
2026-04-22 18:28:50.551000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.554000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.558000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.561000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.564000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.567000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.571000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.574000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.579000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.582000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.586000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.590000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.596000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.599000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.602000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.605000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.609000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.612000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.615000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.618000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.621000,0.035571982,baseline,0.031352445,active_peak_unknown
2026-04-22 18:28:50.624000,0.035571982,baseline,0.031352445,active_peak_unknown
