Protocol,Experiment,Run,Unique_Samples_N,Samples_N_eff,Vshunt_Mean_V,Vshunt_Median_V,Vshunt_Std_V,Vshunt_Max_V,Vshunt_Min_V,Vshunt_Combined_Uncert_V,Current_Mean_mA,Current_Median_mA,Current_Std_mA,Current_Max_mA,Current_Min_mA,Power_Mean_mW,Power_Std_mW,Power_Rel_Uncert_pct
wifi,chunk,esp32_chunked_1460_run24.csv,691,108.452065,0.1066335020,0.1073320000,0.0030074090,0.1146520000,0.0947748000,0.0002889688,93.9865579612,94.6022001090,2.6506701435,101.0539017459,83.5345351097,471.8481402750,13.3073686796,0.2996354928
wifi,chunk,esp32_chunked_1460_run25.csv,654,336.676974,0.1073255560,0.1073480000,0.0012457860,0.1134430000,0.0946709000,0.0000686836,94.5965204639,94.6163021891,1.0980108427,99.9883133198,83.4429597272,474.9103832040,5.5124305577,0.1429781072
wifi,chunk,esp32_chunked_1460_run26.csv,669,193.507566,0.1069395036,0.1072500000,0.0024988936,0.1174090000,0.0946384000,0.0001799361,94.2562616189,94.5299269486,2.2024748744,103.4838664197,83.4143148771,473.2021548498,11.0572585700,0.2113235759
wifi,chunk,esp32_chunked_1460_run27.csv,664,204.255478,0.1073286143,0.1073670000,0.0018052392,0.1172590000,0.0947421000,0.0001267387,94.5992160271,94.6330484092,1.5911017748,103.3516594190,83.5057139836,474.9239159527,7.9879339099,0.1740428334
wifi,chunk,esp32_chunked_1460_run28.csv,671,111.332375,0.1069429432,0.1074740000,0.0028916306,0.1163390000,0.0947603000,0.0002742468,94.2592932415,94.7273560697,2.5486254091,102.5407898144,83.5217550997,473.2173747439,12.7950654393,0.2865438379
wifi,chunk,esp32_chunked_1460_run29.csv,662,254.251118,0.1071171579,0.1073385000,0.0019406351,0.1193630000,0.0946944000,0.0001221465,94.4128425381,94.6079290790,1.7104370094,105.2060829496,83.4636721573,473.9882504058,8.5870420139,0.1713183083
wifi,chunk,esp32_chunked_1460_run30.csv,670,134.986092,0.1070278434,0.1073245000,0.0022021993,0.1169230000,0.0945094000,0.0001898276,94.3341225923,94.5955897590,1.9409744173,103.0555157373,83.3006168564,473.5930464442,9.7444271714,0.2186407146
wifi,byte,esp32_byte_by_byte_run01.csv,1761,436.761582,0.1105959479,0.1106870000,0.0035026700,0.1230230000,0.0943964000,0.0001679381,97.4789784996,97.5592300259,3.0871832721,108.4319337680,83.2010209158,489.3814149456,15.4988300158,0.1985056458
wifi,byte,esp32_byte_by_byte_run02.csv,1770,462.449750,0.1108814307,0.1108730000,0.0031253787,0.1222230000,0.0998904000,0.0001457252,97.7305973876,97.7231667068,2.7546463047,107.7268297640,88.0433226635,490.6446371229,13.8293684140,0.1833552479
wifi,byte,esp32_byte_by_byte_run03.csv,1750,339.191244,0.1102396653,0.1103670000,0.0034794721,0.1211700000,0.0948645000,0.0001892231,97.1649581783,97.2771884243,3.0667370957,106.7987366187,83.6135948962,487.8049139248,15.3961824615,0.2140304294
wifi,byte,esp32_byte_by_byte_run04.csv,1720,416.165810,0.1104563884,0.1104485000,0.0031803553,0.1213730000,0.1008340000,0.0001562602,97.3559735481,97.3490208947,2.8031016109,106.9776567597,88.8749928363,488.7638834727,14.0726324147,0.1906824816
wifi,byte,esp32_byte_by_byte_run05.csv,1747,421.895378,0.1104164438,0.1105060000,0.0034827086,0.1262340000,0.0949194000,0.0001698888,97.3207672420,97.3997002450,3.0695896835,111.2620449642,83.6619826585,488.5871344735,15.4105035338,0.2000500618
wifi,byte,esp32_byte_by_byte_run06.csv,1748,360.805781,0.1105823267,0.1107420000,0.0034054112,0.1250640000,0.0948780000,0.0001795954,97.4669730865,97.6077059262,3.0014613574,110.2308303583,83.6254935263,489.3211432224,15.0684735170,0.2066955430
wifi,byte,esp32_byte_by_byte_run07.csv,1758,360.153182,0.1104259702,0.1105430000,0.0035140758,0.1220760000,0.0948514000,0.0001854730,97.3291635736,97.4323113052,3.0972361056,107.5972669033,83.6020488181,488.6292872402,15.5492990498,0.2110861973
wifi,byte,esp32_byte_by_byte_run08.csv,1821,353.828692,0.1108964030,0.1112720000,0.0041237676,0.1256840000,0.0946573000,0.0002194877,97.7437936126,98.0748373288,3.6346063389,110.7772859614,83.4309729592,490.7108871735,18.2471012754,0.2356242980
wifi,byte,esp32_byte_by_byte_run09.csv,1771,279.044694,0.1107526030,0.1111460000,0.0040051241,0.1229570000,0.0948131000,0.0002399975,97.6170512417,97.9637834482,3.5300362949,108.3737626877,83.5682919639,490.0745924382,17.7221200243,0.2516012741
wifi,byte,esp32_byte_by_byte_run10.csv,1796,285.623876,0.1109342203,0.1114495000,0.0039506862,0.1251420000,0.0949376000,0.0002340057,97.7771250754,98.2312822797,3.4820558415,110.2995779987,83.6780237746,490.8782237487,17.4812399645,0.2466613006
wifi,byte,esp32_byte_by_byte_run11.csv,1811,323.179822,0.1113446445,0.1117250000,0.0038566361,0.1271390000,0.0948914000,0.0002147955,98.1388647437,98.4741024711,3.3991619290,112.0596938688,83.6373040183,492.6942939770,17.0650811084,0.2314313885
wifi,byte,esp32_byte_by_byte_run12.csv,1875,504.563137,0.1117914750,0.1117300000,0.0033045065,0.1229600000,0.0947358000,0.0001475028,98.5326921952,98.4785093711,2.9125259864,108.3764068277,83.5001612896,494.6714570374,14.6219842496,0.1837285338
wifi,byte,esp32_byte_by_byte_run13.csv,1891,460.185836,0.1117662828,0.1117890000,0.0035619257,0.1208500000,0.0946710000,0.0001663881,98.5104883173,98.5305107914,3.1394100567,106.5166950171,83.4430478652,494.5599851556,15.7610282676,0.1962379310
wifi,byte,esp32_byte_by_byte_run14.csv,1833,490.955078,0.1121682040,0.1120850000,0.0031378771,0.1247140000,0.1003380000,0.0001420248,98.8647336476,98.7913992729,2.7656621582,109.9223473565,88.4378283538,496.3384309663,13.8846721731,0.1799413575
wifi,byte,esp32_byte_by_byte_run15.csv,1849,438.211966,0.1120893271,0.1120780000,0.0030493992,0.1219280000,0.0972857000,0.0001460668,98.7952131363,98.7852296129,2.6876795114,107.4668226625,85.7475921644,495.9894116524,13.4931697323,0.1825602850
wifi,byte,esp32_byte_by_byte_run16.csv,1844,501.006888,0.1123925027,0.1122180000,0.0031393219,0.1261250000,0.0964971000,0.0001406668,99.0624260143,98.9086228136,2.7669355162,111.1659745436,85.0525358924,497.3309215696,13.8910649127,0.1789163956
wifi,byte,esp32_byte_by_byte_run17.csv,1861,445.197483,0.1119485935,0.1119470000,0.0035279037,0.1322260000,0.0947365000,0.0001675461,98.6711733096,98.6697688322,3.1094237792,116.5432739544,83.5007782556,495.3666847137,15.6104857904,0.1968393870
wifi,byte,esp32_byte_by_byte_run18.csv,1855,551.488100,0.1123647732,0.1121570000,0.0032701007,0.1228250000,0.0948522000,0.0001396653,99.0379857365,98.8548586333,2.8822013437,108.2574205270,83.6027539221,497.2082221123,14.4697430509,0.1783156135
wifi,byte,esp32_byte_by_byte_run19.csv,1837,533.351902,0.1123865161,0.1121840000,0.0030922452,0.1223140000,0.1004210000,0.0001343285,99.0571494983,98.8786558934,2.7254430479,107.8070353444,88.5109828942,497.3044314596,13.6827569973,0.1750223911
wifi,byte,esp32_byte_by_byte_run20.csv,1859,359.956071,0.1122931716,0.1123940000,0.0039392324,0.1214430000,0.0948187000,0.0002079074,98.9748775567,99.0637456945,3.4719607139,107.0393533601,83.5732276920,496.8913951328,17.4305585978,0.2250011955
wifi,byte,esp32_byte_by_byte_run21.csv,1865,449.643049,0.1124259965,0.1122880000,0.0037358283,0.1229350000,0.0948654000,0.0001765078,99.0919467828,98.9703194140,3.2926843368,108.3543723276,83.6143881382,497.4791270152,16.5305232420,0.2024728031
wifi,byte,esp32_byte_by_byte_run22.csv,1846,513.225396,0.1121264965,0.1120610000,0.0032108641,0.1219000000,0.0951223000,0.0001421393,98.8279734874,98.7702461528,2.8299914341,107.4421440224,83.8408146615,496.1538810310,14.2076295181,0.1800463888
wifi,byte,esp32_byte_by_byte_run23.csv,1829,650.288917,0.1121573504,0.1119290000,0.0030391016,0.1333420000,0.0948528000,0.0001196612,98.8551674295,98.6539039921,2.6786033715,117.5268940400,83.6032827501,496.2904049263,13.4476040699,0.1665229537
wifi,byte,esp32_byte_by_byte_run24.csv,1863,597.191418,0.1124404727,0.1121910000,0.0033222919,0.1252800000,0.0948788000,0.0001363771,99.1047057841,98.8848255535,2.9282016849,110.4212084394,83.6261986303,497.5431820370,14.7006821969,0.1762320839
wifi,byte,esp32_byte_by_byte_run25.csv,1846,339.834086,0.1120417193,0.1122670000,0.0037792495,0.1237850000,0.0949432000,0.0002052901,98.7532525638,98.9518104338,3.3309549865,109.1035453319,83.6829595026,495.7787536765,16.7226564075,0.2234235984
wifi,byte,esp32_byte_by_byte_run26.csv,1813,528.479343,0.1121062285,0.1120270000,0.0031110810,0.1221150000,0.0975693000,0.0001357574,98.8101096141,98.7402792326,2.7420446190,107.6316407234,85.9975515338,496.0641976167,13.7661031759,0.1761005879
wifi,byte,esp32_byte_by_byte_run27.csv,1801,295.982009,0.1113615897,0.1116460000,0.0037199630,0.1218070000,0.0948798000,0.0002164893,98.1537998748,98.4044734507,3.2787010255,107.3601756819,83.6270800103,492.7692739950,16.4603217198,0.2326761194
wifi,byte,esp32_byte_by_byte_run28.csv,1857,284.156544,0.1109954062,0.1115230000,0.0040853058,0.1247860000,0.0948131000,0.0002425860,97.8310530776,98.2960637101,3.6007068343,109.9858067169,83.5682919639,491.1489627579,18.0769129150,0.2532032827
wifi,byte,esp32_byte_by_byte_run29.csv,1777,385.196832,0.1108632157,0.1110550000,0.0032730338,0.1216030000,0.0949294000,0.0001671066,97.7145430210,97.8835778677,2.8847865813,107.1803741609,83.6707964585,490.5640381182,14.4827219234,0.1976532137
wifi,byte,esp32_byte_by_byte_run30.csv,1819,511.541139,0.1116206562,0.1115810000,0.0032569162,0.1217250000,0.0955415000,0.0001443992,98.3821359187,98.3471837504,2.8705807946,107.2879025215,84.2102891596,493.9156074709,14.4114034905,0.1818856759
wifi,all,esp32_full_payload_run01_attempt01.csv,262,29.052880,0.0994872927,0.0946384500,0.0056872590,0.1115100000,0.0941777000,0.0010551812,87.6880319918,83.4143589461,5.0126363847,98.2846057700,83.0082631087,440.2271528742,25.1653343553,1.0682747991
wifi,all,esp32_full_payload_run02_attempt01.csv,262,31.821874,0.0997335744,0.0953724000,0.0057252060,0.1136990000,0.0943545000,0.0010149589,87.9050997396,84.0612478008,5.0460820952,100.2139466011,83.1640910936,441.3169152332,25.3332444975,1.0256485563
wifi,all,esp32_full_payload_run03_attempt01.csv,272,32.240925,0.1017583246,0.0983628000,0.0093654895,0.1379750000,0.0943191000,0.0016494328,89.6896740854,86.6969265678,8.2545552019,121.6103276033,83.1328902415,450.2761547724,41.4409954499,1.6259317709
wifi,all,esp32_full_payload_run04_attempt01.csv,275,41.301303,0.1000496095,0.0976674000,0.0051789897,0.1074750000,0.0943984000,0.0008059264,88.1836466934,86.0840149123,4.5646579483,94.7282374497,83.2027836759,442.7153265056,22.9163128284,0.8155934414
wifi,all,esp32_full_payload_run05_attempt02.csv,259,33.133855,0.0996873012,0.0953185000,0.0056676485,0.1141880000,0.0944433000,0.0009846648,87.8643154054,84.0137414185,4.9953520998,100.6449414235,83.2423576381,441.1121624189,25.0785606948,0.9959727448
wifi,all,esp32_full_payload_run06_attempt01.csv,262,31.846188,0.0996083420,0.0960394000,0.0057533417,0.1141070000,0.0943721000,0.0010195568,87.7947223686,84.6491282641,5.0708803221,100.5735496431,83.1796033817,440.7627789996,25.4577409945,1.0314981327
wifi,all,esp32_full_payload_run07_attempt01.csv,279,35.581883,0.0992181409,0.0948201000,0.0055607453,0.1135040000,0.0945349000,0.0009322713,87.4508068995,83.5744616240,4.9011296815,100.0420775001,83.3230920465,439.0361930066,24.6055284462,0.9482564346
wifi,all,esp32_full_payload_run08_attempt01.csv,276,31.672962,0.0992793989,0.0948354500,0.0055436386,0.1118890000,0.0944592000,0.0009850809,87.5047985224,83.5879908071,4.8860521802,98.6186487919,83.2563715802,439.3072514155,24.5298336753,1.0004131100
wifi,all,esp32_full_payload_run09_attempt02.csv,268,33.895308,0.1014389526,0.0963390000,0.0091972944,0.1399820000,0.0944407000,0.0015797882,89.4081859724,84.9131897136,8.1063113810,123.3792572734,83.2400660501,448.8629777661,40.6967552868,1.5625845003
wifi,all,esp32_full_payload_run10_attempt01.csv,265,44.098185,0.1009194706,0.0965878000,0.0085544264,0.1449050000,0.0943628000,0.0012882297,88.9503248842,85.1324770589,7.5397003463,127.7182910382,83.1714065477,446.5643415816,37.8521531569,1.2828526242
wifi,all,esp32_full_payload_run11_attempt01.csv,274,32.896074,0.0993934281,0.0954014500,0.0056052314,0.1102770000,0.0944414000,0.0009773345,87.6053015697,84.0868518899,4.9403389150,97.1978642238,83.2406830161,439.8118148019,24.8023736579,0.9915552136
wifi,all,esp32_full_payload_run12_attempt01.csv,268,40.621752,0.0993985955,0.0951228000,0.0055824020,0.1155900000,0.0944521000,0.0008759288,87.6098560306,83.8412553515,4.9202175405,101.8806361906,83.2501137821,439.8346799214,24.7013567322,0.8904364871
wifi,all,esp32_full_payload_run13_attempt01.csv,265,29.029776,0.0993473000,0.0947542000,0.0054932132,0.1066330000,0.0943726000,0.0010195876,87.5646451828,83.5163786816,4.8416082384,93.9861154855,83.1800440717,439.6077043314,24.3067082442,1.0341975084
wifi,all,esp32_full_payload_run14_attempt03.csv,263,36.097249,0.0994316141,0.0949491000,0.0056866713,0.1143420000,0.0943466000,0.0009465514,87.6389579168,83.6881596446,5.0121183424,100.7806739443,83.1571281916,439.9807824197,25.1627335864,0.9604893803
wifi,all,esp32_full_payload_run15_attempt01.csv,266,28.826367,0.0994121805,0.0948860500,0.0056672961,0.1137010000,0.0943588000,0.0010556004,87.6218295151,83.6325886353,4.9950414904,100.2157093611,83.1678810277,439.8947913516,25.0770013177,1.0694890152
wifi,all,esp32_full_payload_run16_attempt02.csv,279,50.964956,0.0994947018,0.0960098000,0.0056069733,0.1167220000,0.0943955000,0.0007854640,87.6945621751,84.6230394160,4.9418741265,102.8783583563,83.2002276738,440.2599368690,24.8100810012,0.7997227022
wifi,all,esp32_full_payload_run17_attempt01.csv,256,35.416190,0.0997094637,0.0952533000,0.0057156109,0.1110760000,0.0945169000,0.0009604711,87.8838490017,83.9562754422,5.0376251241,97.9020868478,83.3072272064,441.2102284753,25.2907872973,0.9716972433
wifi,all,esp32_full_payload_run18_attempt01.csv,273,30.406548,0.0994207498,0.0948542000,0.0055940752,0.1085630000,0.0944347000,0.0010145300,87.6293823827,83.6045166821,4.9305060443,95.6871788952,83.2347777700,439.9327096094,24.7530089206,1.0283974927
wifi,all,esp32_full_payload_run19_attempt01.csv,257,29.876391,0.0995405284,0.0951045000,0.0055634207,0.1075810000,0.0943997000,0.0010178830,87.7349528351,83.8251260974,4.9034877875,94.8216637302,83.2039294699,440.4627132896,24.6173670319,1.0305215385
wifi,all,esp32_full_payload_run20_attempt01.csv,270,35.248075,0.0989650237,0.0946403000,0.0055627563,0.1134350000,0.0943414000,0.0009370134,87.2277144988,83.4159894991,4.9029022194,99.9812622797,83.1525450156,437.9161846069,24.6144272580,0.9553858690
wifi,all,esp32_full_payload_run21_attempt01.csv,265,35.853145,0.0995158287,0.0950573000,0.0055681969,0.1085720000,0.0944947000,0.0009299829,87.7131829909,83.7835249612,4.9076974530,95.6951113152,83.2876605703,440.3534204217,24.6385011483,0.9431932659
wifi,all,esp32_full_payload_run22_attempt01.csv,291,42.705316,0.0991082330,0.0946524000,0.0056719172,0.1118760000,0.0944090000,0.0008679931,87.3539363000,83.4266541971,4.9991143769,98.6071908519,83.2121263039,438.5498658849,25.0974487516,0.8850678451
