Protocol,Experiment,Run,Phase,Samples_N,Samples_N_eff,Elapsed_ms,Vshunt_Mean_V,Current_Mean_mA,Power_Mean_mW
wifi,chunk,esp32_chunked_1460_run01.csv,baseline,28,34.29,5058.000,0.106554286,93.916738288,471.497619055
wifi,chunk,esp32_chunked_1460_run01.csv,idle,11,3.74,2007.000,0.104158582,91.805212776,460.896960752
wifi,chunk,esp32_chunked_1460_run01.csv,tx_2,4,1.00,667.000,0.101298525,89.284415883,448.241605011
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,1.09,1000.000,0.104238633,91.875768581,461.251177632
wifi,chunk,esp32_chunked_1460_run01.csv,tx_2+idle,10,2.26,1681.000,0.103062590,90.839227502,456.047348583
wifi,chunk,esp32_chunked_1460_run01.csv,tx_4,2,2.00,121.000,0.106470500,93.842891235,471.126878860
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,7.79,1002.000,0.106754000,94.092762466,472.381327139
wifi,chunk,esp32_chunked_1460_run01.csv,tx_4+idle,8,9.54,1125.000,0.106683125,94.030294658,472.067715070
wifi,chunk,esp32_chunked_1460_run01.csv,tx_8,4,1.00,616.000,0.102342075,90.204179987,452.859169389
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,1.07,999.000,0.103072033,90.847550667,456.089134027
wifi,chunk,esp32_chunked_1460_run01.csv,tx_8+idle,10,2.19,1618.000,0.102780050,90.590202395,454.797148172
wifi,chunk,esp32_chunked_1460_run01.csv,tx_16,5,1.00,848.000,0.101110580,89.118764918,447.409974388
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,1.24,1001.000,0.103145133,90.911979545,456.412591414
wifi,chunk,esp32_chunked_1460_run01.csv,tx_16+idle,11,2.25,1852.000,0.102220336,90.096881987,452.320492766
wifi,chunk,esp32_chunked_1460_run01.csv,tx_32,2,2.00,228.000,0.106550000,93.912960945,471.478655362
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,14.76,1000.000,0.106352667,93.739035291,470.605482662
wifi,chunk,esp32_chunked_1460_run01.csv,tx_32+idle,8,14.13,1231.000,0.106402000,93.782516704,470.823775837
wifi,chunk,esp32_chunked_1460_run01.csv,tx_64,2,2.00,210.000,0.106263500,93.660445574,470.210932498
wifi,chunk,esp32_chunked_1460_run01.csv,idle,7,4.74,996.000,0.106522286,93.888534128,471.356023482
wifi,chunk,esp32_chunked_1460_run01.csv,tx_64+idle,9,3.28,1212.000,0.106464778,93.837847782,471.101558819
wifi,chunk,esp32_chunked_1460_run01.csv,tx_128,2,2.00,333.000,0.106495000,93.864485045,471.235287971
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,9.42,1002.000,0.105305150,92.815775046,465.970366333
wifi,chunk,esp32_chunked_1460_run01.csv,tx_128+idle,8,10.97,1337.000,0.105602612,93.077952546,467.286596742
wifi,chunk,esp32_chunked_1460_run01.csv,tx_256,3,1.00,331.000,0.106859333,94.185601160,472.847412567
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,7.47,1000.000,0.105398667,92.898198766,466.384164645
wifi,chunk,esp32_chunked_1460_run01.csv,tx_256+idle,9,8.63,1334.000,0.105885556,93.327332897,468.538580619
wifi,chunk,esp32_chunked_1460_run01.csv,tx_512,2,2.00,342.000,0.106394500,93.775906354,470.790589375
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,77.55,1004.000,0.106358167,93.743882881,470.629819401
wifi,chunk,esp32_chunked_1460_run01.csv,tx_512+idle,8,23.78,1356.000,0.106367250,93.751888749,470.670011895
wifi,chunk,esp32_chunked_1460_run01.csv,tx_1024,2,2.00,381.000,0.106597500,93.954826495,471.688836290
wifi,chunk,esp32_chunked_1460_run01.csv,idle,7,8.92,1001.000,0.105754257,93.211609102,467.957603307
wifi,chunk,esp32_chunked_1460_run01.csv,tx_1024+idle,9,10.75,1386.000,0.105941644,93.376768522,468.786766193
wifi,chunk,esp32_chunked_1460_run01.csv,tx_2048,3,1.00,421.000,0.105753333,93.210794874,467.953515578
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,50.10,999.000,0.106488667,93.858902971,471.207263847
wifi,chunk,esp32_chunked_1460_run01.csv,tx_2048+idle,9,9.46,1422.000,0.106243556,93.642866939,470.122681091
wifi,chunk,esp32_chunked_1460_run01.csv,tx_4096,4,6.04,564.000,0.107080250,94.380312693,473.824938254
wifi,chunk,esp32_chunked_1460_run01.csv,idle,5,109.36,998.000,0.106574200,93.934290341,471.585737014
wifi,chunk,esp32_chunked_1460_run01.csv,tx_4096+idle,9,9.62,1566.000,0.106799111,94.132522497,472.580937565
wifi,chunk,esp32_chunked_1460_run01.csv,tx_8192,8,4.34,1245.000,0.104530563,92.133069111,462.542923807
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,40.55,995.000,0.106420833,93.799116028,470.907110732
wifi,chunk,esp32_chunked_1460_run01.csv,tx_8192+idle,14,6.85,2243.000,0.105340679,92.847089218,466.127575346
wifi,chunk,esp32_chunked_1460_run01.csv,tx_16384,9,10.45,1761.000,0.106486078,93.856621177,471.195808372
wifi,chunk,esp32_chunked_1460_run01.csv,idle,7,14.33,1003.000,0.107197143,94.483339720,474.342172975
wifi,chunk,esp32_chunked_1460_run01.csv,tx_16384+idle,16,19.05,2767.000,0.106797169,94.130810539,472.572342886
wifi,chunk,esp32_chunked_1460_run01.csv,tx_32768,17,11.98,3357.000,0.106707676,94.051933833,472.176351930
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,16.07,1000.000,0.106796333,94.130074220,472.568646283
wifi,chunk,esp32_chunked_1460_run01.csv,tx_32768+idle,23,16.29,4363.000,0.106730804,94.072318282,472.278689587
wifi,chunk,esp32_chunked_1460_run01.csv,tx_65536,32,18.64,6080.000,0.107242594,94.523399228,474.543286888
wifi,chunk,esp32_chunked_1460_run01.csv,idle,5,27.94,995.000,0.106341000,93.728752524,470.553859276
wifi,chunk,esp32_chunked_1460_run01.csv,tx_65536+idle,37,20.46,7083.000,0.107120757,94.416014538,474.004175048
wifi,chunk,esp32_chunked_1460_run01.csv,tx_131072,60,77.48,11923.000,0.107456717,94.712122885,475.490751171
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,2.53,1001.000,0.106887833,94.210720490,472.973521124
wifi,chunk,esp32_chunked_1460_run01.csv,tx_131072+idle,66,73.84,12927.000,0.107405000,94.666540849,475.261912076
wifi,chunk,esp32_chunked_1460_run01.csv,tx_262144,121,56.25,24037.000,0.107457244,94.712587492,475.493083670
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,1.85,1001.000,0.107236333,94.517881422,474.515585410
wifi,chunk,esp32_chunked_1460_run01.csv,tx_262144+idle,127,58.86,25040.000,0.107446807,94.703388780,475.446902650
wifi,chunk,esp32_chunked_1460_run01.csv,tx_524288,242,45.36,48270.000,0.107270466,94.547965010,474.666616421
wifi,chunk,esp32_chunked_1460_run02.csv,baseline,27,38.37,5052.000,0.106336370,93.724672061,470.533373806
wifi,chunk,esp32_chunked_1460_run02.csv,idle,11,15.98,2007.000,0.105784655,93.238400764,468.092107609
wifi,chunk,esp32_chunked_1460_run02.csv,tx_2,1,1.00,71.000,0.106485000,93.855671245,471.191039354
wifi,chunk,esp32_chunked_1460_run02.csv,idle,7,11.54,998.000,0.105960286,93.393198565,468.869251233
wifi,chunk,esp32_chunked_1460_run02.csv,tx_2+idle,8,12.08,1072.000,0.106025875,93.451007650,469.159474748
wifi,chunk,esp32_chunked_1460_run02.csv,tx_4,2,2.00,326.000,0.106305000,93.697022844,470.394564257
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,9.40,1000.000,0.104703683,92.285654352,463.308959544
wifi,chunk,esp32_chunked_1460_run02.csv,tx_4+idle,8,10.61,1331.000,0.105104013,92.638496475,465.080360722
wifi,chunk,esp32_chunked_1460_run02.csv,tx_8,2,2.00,220.000,0.106353500,93.739769774,470.609170047
wifi,chunk,esp32_chunked_1460_run02.csv,idle,7,10.65,999.000,0.106350429,93.737062678,470.595579401
wifi,chunk,esp32_chunked_1460_run02.csv,tx_8+idle,9,13.78,1223.000,0.106351111,93.737664255,470.598599544
wifi,chunk,esp32_chunked_1460_run02.csv,tx_16,1,1.00,222.000,0.106438000,93.814246384,470.983070857
wifi,chunk,esp32_chunked_1460_run02.csv,idle,7,11.60,998.000,0.106217714,93.620090961,470.008337047
wifi,chunk,esp32_chunked_1460_run02.csv,tx_16+idle,8,12.01,1224.000,0.106245250,93.644360389,470.130178773
wifi,chunk,esp32_chunked_1460_run02.csv,tx_32,2,2.00,225.000,0.106447500,93.822619495,471.025107042
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,11.21,1003.000,0.105912333,93.350934295,468.657068581
wifi,chunk,esp32_chunked_1460_run02.csv,tx_32+idle,8,11.98,1230.000,0.106046125,93.468855595,469.249078196
wifi,chunk,esp32_chunked_1460_run02.csv,tx_64,2,2.00,236.000,0.106374000,93.757838064,470.699879711
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,10.07,1003.000,0.106004167,93.431874359,469.063418376
wifi,chunk,esp32_chunked_1460_run02.csv,tx_64+idle,8,11.56,1242.000,0.106096625,93.513365285,469.472533710
wifi,chunk,esp32_chunked_1460_run02.csv,tx_128,2,2.00,222.000,0.106372000,93.756075304,470.691029988
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,16.70,995.000,0.106398500,93.779431874,470.808288821
wifi,chunk,esp32_chunked_1460_run02.csv,tx_128+idle,8,13.09,1220.000,0.106391875,93.773592732,470.778974113
wifi,chunk,esp32_chunked_1460_run02.csv,tx_256,2,2.00,278.000,0.106371500,93.755634614,470.688817557
wifi,chunk,esp32_chunked_1460_run02.csv,idle,5,24.58,1003.000,0.106317600,93.708128232,470.450317514
wifi,chunk,esp32_chunked_1460_run02.csv,tx_256+idle,7,13.41,1286.000,0.106333000,93.721701484,470.518460383
wifi,chunk,esp32_chunked_1460_run02.csv,tx_512,3,1.00,341.000,0.106736333,94.077191419,472.303154583
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,7.65,997.000,0.105737667,93.196986588,467.884192746
wifi,chunk,esp32_chunked_1460_run02.csv,tx_512+idle,9,8.63,1340.000,0.106070556,93.490388198,469.357180025
wifi,chunk,esp32_chunked_1460_run02.csv,tx_1024,2,2.00,218.000,0.106495500,93.864925735,471.237500402
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,6.30,1001.000,0.106461667,93.835105711,471.087792583
wifi,chunk,esp32_chunked_1460_run02.csv,tx_1024+idle,8,7.96,1224.000,0.106470125,93.842560717,471.125219537
wifi,chunk,esp32_chunked_1460_run02.csv,tx_2048,4,1.00,519.000,0.104166275,91.811993393,460.931002017
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,1.00,1004.000,0.104834683,92.401115133,463.888616420
wifi,chunk,esp32_chunked_1460_run02.csv,tx_2048+idle,10,4.45,1525.000,0.104567320,92.165466437,462.705570659
wifi,chunk,esp32_chunked_1460_run02.csv,tx_4096,4,15.93,620.000,0.105489000,92.977816760,466.783877148
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,1.19,1003.000,0.106599167,93.956295462,471.696211060
wifi,chunk,esp32_chunked_1460_run02.csv,tx_4096+idle,10,13.75,1626.000,0.106155100,93.564903981,469.731277495
wifi,chunk,esp32_chunked_1460_run02.csv,tx_8192,6,6.26,967.000,0.106234000,93.634444863,470.080399079
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,5.24,1000.000,0.106766000,94.103339026,472.434425479
wifi,chunk,esp32_chunked_1460_run02.csv,tx_8192+idle,12,10.62,1973.000,0.106500000,93.868891945,471.257412279
wifi,chunk,esp32_chunked_1460_run02.csv,tx_16384,9,7.84,1671.000,0.106967000,94.280496407,473.323822671
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,1.00,1000.000,0.106649500,94.000658256,471.918929096
wifi,chunk,esp32_chunked_1460_run02.csv,tx_16384+idle,15,10.74,2675.000,0.106840000,94.168561147,472.761865241
wifi,chunk,esp32_chunked_1460_run02.csv,tx_32768,17,14.36,3237.000,0.106901412,94.222688248,473.033603804
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,1.98,991.000,0.106732500,94.073812796,472.286192614
wifi,chunk,esp32_chunked_1460_run02.csv,tx_32768+idle,23,18.53,4238.000,0.106857348,94.183851174,472.838626972
wifi,chunk,esp32_chunked_1460_run02.csv,tx_65536,32,25.44,6113.000,0.107148500,94.440466878,474.126935061
wifi,chunk,esp32_chunked_1460_run02.csv,idle,6,98.06,1002.000,0.106475500,93.847298135,471.149003169
wifi,chunk,esp32_chunked_1460_run02.csv,tx_65536+idle,38,27.27,7117.000,0.107042237,94.346808655,473.656735289
wifi,chunk,esp32_chunked_1460_run02.csv,tx_131072,60,61.19,11943.000,0.107248300,94.528428603,474.568536254
wifi,chunk,esp32_chunked_1460_run02.csv,idle,7,5.73,1004.000,0.106740429,94.080800880,472.321275445
wifi,chunk,esp32_chunked_1460_run02.csv,tx_131072+idle,67,58.56,12956.000,0.107195239,94.481661527,474.333747812
wifi,chunk,esp32_chunked_1460_run02.csv,tx_262144,119,158.90,23681.000,0.107488301,94.739960544,475.630506770
wifi,chunk,esp32_chunked_1460_run02.csv,idle,5,29.60,998.000,0.106411400,93.790801676,470.865369537
wifi,chunk,esp32_chunked_1460_run02.csv,tx_262144+idle,124,156.24,24685.000,0.107444877,94.701688009,475.438364139
wifi,chunk,esp32_chunked_1460_run02.csv,tx_524288,236,223.01,47111.000,0.107417716,94.677748567,475.318179066
wifi,chunk,esp32_chunked_1460_run03.csv,baseline,27,1.00,5000.000,0.104565922,92.164234463,462.699385686
wifi,chunk,esp32_chunked_1460_run03.csv,idle,11,15.77,2003.000,0.106601091,93.957991451,471.704725566
wifi,chunk,esp32_chunked_1460_run03.csv,tx_2,1,1.00,50.000,0.106509000,93.876824365,471.297236034
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,6.09,1002.000,0.106473333,93.845388478,471.139415968
wifi,chunk,esp32_chunked_1460_run03.csv,tx_2+idle,7,7.03,1055.000,0.106478429,93.849879319,471.161961692
wifi,chunk,esp32_chunked_1460_run03.csv,tx_4,3,1.00,220.000,0.106154000,93.563934463,469.726410147
wifi,chunk,esp32_chunked_1460_run03.csv,idle,5,10.40,1004.000,0.106730800,94.072314450,472.278670349
wifi,chunk,esp32_chunked_1460_run03.csv,tx_4+idle,8,5.31,1228.000,0.106514500,93.881671955,471.321572773
wifi,chunk,esp32_chunked_1460_run03.csv,tx_8,2,2.00,211.000,0.106564500,93.925740955,471.542815856
wifi,chunk,esp32_chunked_1460_run03.csv,idle,5,11.94,1002.000,0.106846200,94.174025703,472.789299384
wifi,chunk,esp32_chunked_1460_run03.csv,tx_8+idle,7,8.21,1222.000,0.106765714,94.103087203,472.433161233
wifi,chunk,esp32_chunked_1460_run03.csv,tx_16,2,2.00,216.000,0.106619000,93.973776165,471.783970816
wifi,chunk,esp32_chunked_1460_run03.csv,idle,7,10.82,1002.000,0.106810429,94.142497481,472.631015761
wifi,chunk,esp32_chunked_1460_run03.csv,tx_16+idle,9,12.33,1226.000,0.106767889,94.105003855,472.442783551
wifi,chunk,esp32_chunked_1460_run03.csv,tx_32,2,2.00,222.000,0.106581000,93.940283725,471.615826073
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,14.17,1001.000,0.107054333,94.357470261,473.710260589
wifi,chunk,esp32_chunked_1460_run03.csv,tx_32+idle,8,12.42,1226.000,0.106936000,94.253173627,473.186651960
wifi,chunk,esp32_chunked_1460_run03.csv,tx_64,2,2.00,324.000,0.106677000,94.024896206,472.040612792
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,10.35,1002.000,0.105045483,92.586910038,464.821377257
wifi,chunk,esp32_chunked_1460_run03.csv,tx_64+idle,8,11.50,1330.000,0.105453363,92.946406580,466.626186141
wifi,chunk,esp32_chunked_1460_run03.csv,tx_128,2,2.00,236.000,0.106680000,94.027540346,472.053887377
wifi,chunk,esp32_chunked_1460_run03.csv,idle,7,9.09,984.000,0.106288714,93.682668941,470.322502224
wifi,chunk,esp32_chunked_1460_run03.csv,tx_128+idle,9,10.15,1237.000,0.106375667,93.759307031,470.707254480
wifi,chunk,esp32_chunked_1460_run03.csv,tx_256,2,2.00,314.000,0.106678500,94.026218276,472.047250084
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,9.30,995.000,0.105403500,92.902458769,466.405551476
wifi,chunk,esp32_chunked_1460_run03.csv,tx_256+idle,8,10.77,1311.000,0.105722250,93.183398646,467.815976128
wifi,chunk,esp32_chunked_1460_run03.csv,tx_512,2,2.00,233.000,0.106726500,94.068524516,472.259643444
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,4.13,1002.000,0.106512833,93.880202988,471.314198004
wifi,chunk,esp32_chunked_1460_run03.csv,tx_512+idle,8,4.97,1240.000,0.106566250,93.927283370,471.550559364
wifi,chunk,esp32_chunked_1460_run03.csv,tx_1024,3,1.00,413.000,0.106609000,93.964962365,471.739722199
wifi,chunk,esp32_chunked_1460_run03.csv,idle,7,10.16,999.000,0.105308143,92.818412890,465.983609312
wifi,chunk,esp32_chunked_1460_run03.csv,tx_1024+idle,10,12.47,1416.000,0.105698400,93.162377733,467.710443178
wifi,chunk,esp32_chunked_1460_run03.csv,tx_2048,2,2.00,374.000,0.106752500,94.091440396,472.374689847
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,3.82,999.000,0.106861833,94.187804610,472.858474721
wifi,chunk,esp32_chunked_1460_run03.csv,tx_2048+idle,8,3.78,1381.000,0.106834500,94.163713556,472.737528502
wifi,chunk,esp32_chunked_1460_run03.csv,tx_4096,4,4517.78,693.000,0.105127150,92.658889405,465.182740958
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,184.32,999.000,0.107170333,94.459710342,474.223544541
wifi,chunk,esp32_chunked_1460_run03.csv,tx_4096+idle,10,41.32,1695.000,0.106353060,93.739381967,470.607223108
wifi,chunk,esp32_chunked_1460_run03.csv,tx_8192,5,1.70,878.000,0.107038000,94.343074388,473.637987849
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,3.46,997.000,0.107035833,94.341164731,473.628400648
wifi,chunk,esp32_chunked_1460_run03.csv,tx_8192+idle,11,5.66,1893.000,0.107036818,94.342032757,473.632758467
wifi,chunk,esp32_chunked_1460_run03.csv,tx_16384,10,3.03,1693.000,0.107105500,94.402567538,473.936666010
wifi,chunk,esp32_chunked_1460_run03.csv,idle,5,19.34,997.000,0.106489400,93.859549317,471.210508746
wifi,chunk,esp32_chunked_1460_run03.csv,tx_16384+idle,15,8.63,2696.000,0.106900133,94.221561464,473.027946922
wifi,chunk,esp32_chunked_1460_run03.csv,tx_32768,17,11.66,3109.000,0.107311824,94.584416971,474.849619084
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,7.45,1001.000,0.106752000,94.090999706,472.372477416
wifi,chunk,esp32_chunked_1460_run03.csv,tx_32768+idle,23,10.88,4115.000,0.107165783,94.455699424,474.203408214
wifi,chunk,esp32_chunked_1460_run03.csv,tx_65536,32,24.94,6147.000,0.107403328,94.665067292,475.254514260
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,6.02,1003.000,0.108572000,95.695111315,480.425725625
wifi,chunk,esp32_chunked_1460_run03.csv,tx_65536+idle,38,27.40,7156.000,0.107587855,94.827705822,476.071021318
wifi,chunk,esp32_chunked_1460_run03.csv,tx_131072,65,11.58,12900.000,0.106875194,94.199580299,472.917593142
wifi,chunk,esp32_chunked_1460_run03.csv,idle,7,7.25,1005.000,0.107047286,94.351258630,473.679075850
wifi,chunk,esp32_chunked_1460_run03.csv,tx_131072+idle,72,13.10,13908.000,0.106891925,94.214326803,472.991626183
wifi,chunk,esp32_chunked_1460_run03.csv,tx_262144,118,114.73,23660.000,0.107639356,94.873097482,476.298904653
wifi,chunk,esp32_chunked_1460_run03.csv,idle,6,8.44,1001.000,0.107069000,94.370397168,473.775158560
wifi,chunk,esp32_chunked_1460_run03.csv,tx_262144+idle,124,118.22,24674.000,0.107611758,94.848773273,476.176787907
wifi,chunk,esp32_chunked_1460_run03.csv,tx_524288,236,220.45,47044.000,0.107690568,94.918234595,476.525510068
wifi,chunk,esp32_chunked_1460_run04.csv,baseline,28,44.76,5069.000,0.106595321,93.952906346,471.679196413
wifi,chunk,esp32_chunked_1460_run04.csv,idle,11,17.06,2008.000,0.106327727,93.717054208,470.495129294
wifi,chunk,esp32_chunked_1460_run04.csv,tx_2,1,1.00,32.000,0.106635000,93.987878245,471.854768602
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,11.96,998.000,0.106165833,93.574364126,469.778771010
wifi,chunk,esp32_chunked_1460_run04.csv,tx_2+idle,7,12.34,1033.000,0.106232857,93.633437572,470.075342095
wifi,chunk,esp32_chunked_1460_run04.csv,tx_4,2,2.00,227.000,0.106651500,94.002421016,471.927778820
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,8.17,998.000,0.105971000,93.402641922,468.916660465
wifi,chunk,esp32_chunked_1460_run04.csv,tx_4+idle,8,8.99,1228.000,0.106141125,93.552586695,469.669440053
wifi,chunk,esp32_chunked_1460_run04.csv,tx_8,2,2.00,226.000,0.106706000,94.050456226,472.168933780
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,11.92,995.000,0.106277500,93.672784894,470.272880561
wifi,chunk,esp32_chunked_1460_run04.csv,tx_8+idle,8,12.70,1225.000,0.106384625,93.767202727,470.746893866
wifi,chunk,esp32_chunked_1460_run04.csv,tx_16,2,2.00,222.000,0.106618500,93.973335475,471.781758385
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,4.97,1001.000,0.106534500,93.899299555,471.410070006
wifi,chunk,esp32_chunked_1460_run04.csv,tx_16+idle,8,6.68,1227.000,0.106555500,93.917808535,471.502992101
wifi,chunk,esp32_chunked_1460_run04.csv,tx_32,2,2.00,260.000,0.106666000,94.015201026,471.991939314
wifi,chunk,esp32_chunked_1460_run04.csv,idle,7,11.85,1004.000,0.106497143,93.866373716,471.244769817
wifi,chunk,esp32_chunked_1460_run04.csv,tx_32+idle,9,12.89,1270.000,0.106534667,93.899446452,471.410807483
wifi,chunk,esp32_chunked_1460_run04.csv,tx_64,2,2.00,285.000,0.106734000,94.075134866,472.292829906
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,10.11,997.000,0.105189000,92.713402758,465.456418652
wifi,chunk,esp32_chunked_1460_run04.csv,tx_64+idle,8,11.10,1287.000,0.105575250,93.053835785,467.165521465
wifi,chunk,esp32_chunked_1460_run04.csv,tx_128,2,2.00,219.000,0.106691000,94.037235526,472.102560855
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,8.90,1005.000,0.106321500,93.711565614,470.467574474
wifi,chunk,esp32_chunked_1460_run04.csv,tx_128+idle,8,10.05,1227.000,0.106413875,93.792983092,470.876321069
wifi,chunk,esp32_chunked_1460_run04.csv,tx_256,3,1.00,329.000,0.106430667,93.807782931,470.950621871
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,7.39,1001.000,0.105656167,93.125154117,467.523566521
wifi,chunk,esp32_chunked_1460_run04.csv,tx_256+idle,9,9.99,1335.000,0.105914333,93.352697055,468.665918304
wifi,chunk,esp32_chunked_1460_run04.csv,tx_512,2,2.00,287.000,0.106848000,94.175612187,472.797264135
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,11.60,1007.000,0.106591167,93.949244422,471.660812167
wifi,chunk,esp32_chunked_1460_run04.csv,tx_512+idle,8,13.45,1297.000,0.106655375,94.005836363,471.944925159
wifi,chunk,esp32_chunked_1460_run04.csv,tx_1024,3,1.00,268.000,0.106836000,94.165035626,472.744165795
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,2.03,1008.000,0.106766000,94.103339026,472.434425479
wifi,chunk,esp32_chunked_1460_run04.csv,tx_1024+idle,9,2.74,1279.000,0.106789333,94.123904560,472.537672251
wifi,chunk,esp32_chunked_1460_run04.csv,tx_2048,2,2.00,358.000,0.106725000,94.067202446,472.253006151
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,3.72,998.000,0.106372667,93.756662891,470.693979895
wifi,chunk,esp32_chunked_1460_run04.csv,tx_2048+idle,8,9.35,1373.000,0.106460750,93.834297780,471.083736459
wifi,chunk,esp32_chunked_1460_run04.csv,tx_4096,4,26.11,628.000,0.106000750,93.428862977,469.048300099
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,1.67,1007.000,0.107323000,94.594267689,474.899073420
wifi,chunk,esp32_chunked_1460_run04.csv,tx_4096+idle,10,10.98,1638.000,0.106794100,94.128105804,472.558764091
wifi,chunk,esp32_chunked_1460_run04.csv,tx_8192,5,7.80,956.000,0.105727200,93.187761477,467.837879194
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,12.07,997.000,0.106712833,94.056478989,472.199170334
wifi,chunk,esp32_chunked_1460_run04.csv,tx_8192+idle,11,12.77,1963.000,0.106264818,93.661607393,470.216765270
wifi,chunk,esp32_chunked_1460_run04.csv,tx_16384,10,10.65,1780.000,0.106280680,93.675587682,470.286951621
wifi,chunk,esp32_chunked_1460_run04.csv,idle,5,17.00,1000.000,0.106878800,94.202758691,472.933549874
wifi,chunk,esp32_chunked_1460_run04.csv,tx_16384+idle,15,14.68,2784.000,0.106480053,93.851311352,471.169151039
wifi,chunk,esp32_chunked_1460_run04.csv,tx_32768,17,12.02,3146.000,0.107374294,94.639477299,475.126042794
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,17.46,1005.000,0.108398000,95.541751194,479.655799697
wifi,chunk,esp32_chunked_1460_run04.csv,tx_32768+idle,23,32.20,4155.000,0.107641348,94.874853098,476.307718508
wifi,chunk,esp32_chunked_1460_run04.csv,tx_65536,41,5.22,8155.000,0.104665980,92.252423818,463.142129668
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,1.99,1008.000,0.107227667,94.510242795,474.477236609
wifi,chunk,esp32_chunked_1460_run04.csv,tx_65536+idle,47,6.04,9170.000,0.104993004,92.540656028,464.589164597
wifi,chunk,esp32_chunked_1460_run04.csv,tx_131072,61,54.34,11982.000,0.107512164,94.760992998,475.736097660
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,27.24,1009.000,0.106680500,94.027981036,472.056099808
wifi,chunk,esp32_chunked_1460_run04.csv,tx_131072+idle,67,53.06,13000.000,0.107437687,94.695350136,475.406545613
wifi,chunk,esp32_chunked_1460_run04.csv,tx_262144,119,121.46,23708.000,0.107646523,94.879414118,476.330616561
wifi,chunk,esp32_chunked_1460_run04.csv,idle,6,12.76,1009.000,0.107054833,94.357910951,473.712473020
wifi,chunk,esp32_chunked_1460_run04.csv,tx_262144+idle,125,125.07,24732.000,0.107618122,94.854381966,476.204945671
wifi,chunk,esp32_chunked_1460_run04.csv,tx_524288,257,32.35,51241.000,0.106811612,94.143540929,472.636254266
wifi,chunk,esp32_chunked_1460_run05.csv,baseline,27,23.44,5057.000,0.108096704,95.276194663,478.322605270
wifi,chunk,esp32_chunked_1460_run05.csv,idle,11,13.24,2012.000,0.106537727,93.902144009,471.424350242
wifi,chunk,esp32_chunked_1460_run05.csv,tx_2,1,1.00,78.000,0.106805000,94.137712846,472.606995084
wifi,chunk,esp32_chunked_1460_run05.csv,idle,6,8.09,1008.000,0.106462667,93.835987091,471.092217444
wifi,chunk,esp32_chunked_1460_run05.csv,tx_2+idle,7,8.14,1088.000,0.106511571,93.879090771,471.308614250
wifi,chunk,esp32_chunked_1460_run05.csv,tx_4,3,1.00,277.000,0.106789333,94.123904560,472.537672251
wifi,chunk,esp32_chunked_1460_run05.csv,idle,6,3.71,1000.000,0.107115833,94.411675131,473.982389581
