# META
run,4
session,20260416_222911

# EVENTS
payload_size,duration_ms,success

# METER
timestamp,value,phase
2026-04-16T22:36:04.079,2.96950000E-02,baseline
2026-04-16T22:36:04.082,2.96950000E-02,baseline
2026-04-16T22:36:04.086,2.96950000E-02,baseline
2026-04-16T22:36:04.089,2.96950000E-02,baseline
2026-04-16T22:36:04.093,2.96950000E-02,baseline
2026-04-16T22:36:04.096,2.96950000E-02,baseline
2026-04-16T22:36:04.099,2.96950000E-02,baseline
2026-04-16T22:36:04.102,2.96950000E-02,baseline
2026-04-16T22:36:04.108,2.96950000E-02,baseline
2026-04-16T22:36:04.111,2.96950000E-02,baseline
2026-04-16T22:36:04.114,2.96950000E-02,baseline
2026-04-16T22:36:04.122,2.96950000E-02,baseline
2026-04-16T22:36:04.125,2.96950000E-02,baseline
2026-04-16T22:36:04.128,2.96950000E-02,baseline
2026-04-16T22:36:04.132,2.96950000E-02,baseline
2026-04-16T22:36:04.135,2.96950000E-02,baseline
2026-04-16T22:36:04.138,2.96950000E-02,baseline
2026-04-16T22:36:04.141,2.96950000E-02,baseline
2026-04-16T22:36:04.144,2.96950000E-02,baseline
2026-04-16T22:36:04.148,2.96950000E-02,baseline
2026-04-16T22:36:04.153,2.96950000E-02,baseline
2026-04-16T22:36:04.157,2.96950000E-02,baseline
2026-04-16T22:36:04.160,2.96950000E-02,baseline
2026-04-16T22:36:04.163,2.96950000E-02,baseline
2026-04-16T22:36:04.169,2.96950000E-02,baseline
2026-04-16T22:36:04.172,2.96950000E-02,baseline
2026-04-16T22:36:04.175,2.96950000E-02,baseline
2026-04-16T22:36:04.178,2.96950000E-02,baseline
2026-04-16T22:36:04.181,2.96950000E-02,baseline
2026-04-16T22:36:04.185,2.96950000E-02,baseline
2026-04-16T22:36:04.188,2.96950000E-02,baseline
2026-04-16T22:36:04.191,2.96950000E-02,baseline
2026-04-16T22:36:04.194,2.96950000E-02,baseline
2026-04-16T22:36:04.197,2.96950000E-02,baseline
2026-04-16T22:36:04.201,2.96950000E-02,baseline
2026-04-16T22:36:04.204,2.96950000E-02,baseline
2026-04-16T22:36:04.207,2.96950000E-02,baseline
2026-04-16T22:36:04.210,2.96950000E-02,baseline
2026-04-16T22:36:04.213,2.96950000E-02,baseline
2026-04-16T22:36:04.220,2.96950000E-02,baseline
2026-04-16T22:36:04.228,2.96950000E-02,baseline
2026-04-16T22:36:04.231,2.96950000E-02,baseline
2026-04-16T22:36:04.234,2.96950000E-02,baseline
2026-04-16T22:36:04.238,2.96950000E-02,baseline
2026-04-16T22:36:04.241,2.96950000E-02,baseline
2026-04-16T22:36:04.245,2.96950000E-02,baseline
2026-04-16T22:36:04.255,2.96950000E-02,baseline
2026-04-16T22:36:04.258,2.96950000E-02,baseline
2026-04-16T22:36:04.261,2.96950000E-02,baseline
2026-04-16T22:36:04.264,2.96950000E-02,baseline
2026-04-16T22:36:04.268,2.96950000E-02,baseline
2026-04-16T22:36:04.271,2.96950000E-02,baseline
2026-04-16T22:36:04.274,2.96950000E-02,baseline
2026-04-16T22:36:04.277,2.96950000E-02,baseline
2026-04-16T22:36:04.283,2.96950000E-02,baseline
2026-04-16T22:36:04.286,2.96950000E-02,baseline
2026-04-16T22:36:04.289,2.96950000E-02,baseline
2026-04-16T22:36:04.293,2.96950000E-02,baseline
2026-04-16T22:36:04.296,2.96950000E-02,baseline
2026-04-16T22:36:04.299,2.96950000E-02,baseline
2026-04-16T22:36:04.302,2.96950000E-02,baseline
2026-04-16T22:36:04.306,2.96950000E-02,baseline
2026-04-16T22:36:04.309,2.96950000E-02,baseline
2026-04-16T22:36:04.312,2.96950000E-02,baseline
2026-04-16T22:36:04.315,2.96950000E-02,baseline
2026-04-16T22:36:04.322,2.96950000E-02,baseline
2026-04-16T22:36:04.325,2.96950000E-02,baseline
2026-04-16T22:36:04.328,2.96950000E-02,baseline
2026-04-16T22:36:04.332,2.96950000E-02,baseline
2026-04-16T22:36:04.335,2.96950000E-02,baseline
2026-04-16T22:36:04.342,2.96950000E-02,baseline
2026-04-16T22:36:04.346,2.96950000E-02,baseline
2026-04-16T22:36:04.349,2.96950000E-02,baseline
2026-04-16T22:36:04.352,2.96950000E-02,baseline
2026-04-16T22:36:04.355,2.96950000E-02,baseline
2026-04-16T22:36:04.358,2.96950000E-02,baseline
2026-04-16T22:36:04.361,2.96950000E-02,baseline
2026-04-16T22:36:04.365,2.96950000E-02,baseline
2026-04-16T22:36:04.368,2.96950000E-02,baseline
2026-04-16T22:36:04.371,2.96950000E-02,baseline
2026-04-16T22:36:04.374,2.96950000E-02,baseline
2026-04-16T22:36:04.377,2.96950000E-02,baseline
2026-04-16T22:36:04.381,2.96950000E-02,baseline
2026-04-16T22:36:04.384,2.96950000E-02,baseline
2026-04-16T22:36:04.387,2.96950000E-02,baseline
2026-04-16T22:36:04.390,2.96950000E-02,baseline
2026-04-16T22:36:04.393,2.96950000E-02,baseline
2026-04-16T22:36:04.399,2.96950000E-02,baseline
2026-04-16T22:36:04.402,2.96950000E-02,baseline
2026-04-16T22:36:04.406,2.96950000E-02,baseline
2026-04-16T22:36:04.409,2.96950000E-02,baseline
2026-04-16T22:36:04.412,2.96950000E-02,baseline
2026-04-16T22:36:04.415,2.96950000E-02,baseline
2026-04-16T22:36:04.419,2.96950000E-02,baseline
2026-04-16T22:36:04.422,2.96950000E-02,baseline
2026-04-16T22:36:04.425,2.96950000E-02,baseline
2026-04-16T22:36:04.429,2.96950000E-02,baseline
2026-04-16T22:36:04.432,2.96950000E-02,baseline
2026-04-16T22:36:04.435,2.96950000E-02,baseline
2026-04-16T22:36:04.439,2.96950000E-02,baseline
2026-04-16T22:36:04.444,2.96950000E-02,baseline
2026-04-16T22:36:04.447,2.96950000E-02,baseline
2026-04-16T22:36:04.450,2.96950000E-02,baseline
2026-04-16T22:36:04.453,2.96950000E-02,baseline
2026-04-16T22:36:04.456,2.96950000E-02,baseline
2026-04-16T22:36:04.460,2.96950000E-02,baseline
2026-04-16T22:36:04.463,2.96950000E-02,baseline
2026-04-16T22:36:04.466,2.96950000E-02,baseline
2026-04-16T22:36:04.469,2.96950000E-02,baseline
2026-04-16T22:36:04.472,2.96950000E-02,baseline
2026-04-16T22:36:04.475,2.96950000E-02,baseline
2026-04-16T22:36:04.479,2.96950000E-02,baseline
2026-04-16T22:36:04.482,2.96950000E-02,baseline
2026-04-16T22:36:04.485,2.96950000E-02,baseline
2026-04-16T22:36:04.488,2.96950000E-02,baseline
2026-04-16T22:36:04.491,2.96950000E-02,baseline
2026-04-16T22:36:04.494,2.96950000E-02,baseline
2026-04-16T22:36:04.498,2.96950000E-02,baseline
2026-04-16T22:36:04.501,2.96950000E-02,baseline
2026-04-16T22:36:04.504,2.96950000E-02,baseline
2026-04-16T22:36:04.507,2.96950000E-02,baseline
2026-04-16T22:36:04.510,2.96950000E-02,baseline
2026-04-16T22:36:04.514,2.96950000E-02,baseline
2026-04-16T22:36:04.517,2.96950000E-02,baseline
2026-04-16T22:36:04.520,2.96950000E-02,baseline
2026-04-16T22:36:04.523,2.96950000E-02,baseline
2026-04-16T22:36:04.526,2.96950000E-02,baseline
2026-04-16T22:36:04.530,2.96950000E-02,baseline
2026-04-16T22:36:04.540,2.96942000E-02,baseline
2026-04-16T22:36:04.543,2.96942000E-02,baseline
2026-04-16T22:36:04.546,2.96942000E-02,baseline
2026-04-16T22:36:04.549,2.96942000E-02,baseline
2026-04-16T22:36:04.552,2.96942000E-02,baseline
2026-04-16T22:36:04.556,2.96942000E-02,baseline
2026-04-16T22:36:04.559,2.96942000E-02,baseline
2026-04-16T22:36:04.562,2.96942000E-02,baseline
2026-04-16T22:36:04.565,2.96942000E-02,baseline
2026-04-16T22:36:04.568,2.96942000E-02,baseline
2026-04-16T22:36:04.572,2.96942000E-02,baseline
2026-04-16T22:36:04.575,2.96942000E-02,baseline
2026-04-16T22:36:04.578,2.96942000E-02,baseline
2026-04-16T22:36:04.581,2.96942000E-02,baseline
2026-04-16T22:36:04.584,2.96942000E-02,baseline
2026-04-16T22:36:04.587,2.96942000E-02,baseline
2026-04-16T22:36:04.591,2.96942000E-02,baseline
2026-04-16T22:36:04.594,2.96942000E-02,baseline
2026-04-16T22:36:04.597,2.96942000E-02,baseline
2026-04-16T22:36:04.600,2.96942000E-02,baseline
2026-04-16T22:36:04.603,2.96942000E-02,baseline
2026-04-16T22:36:04.607,2.96942000E-02,baseline
2026-04-16T22:36:04.610,2.96942000E-02,baseline
2026-04-16T22:36:04.613,2.96942000E-02,baseline
2026-04-16T22:36:04.621,2.96942000E-02,baseline
2026-04-16T22:36:04.624,2.96942000E-02,baseline
2026-04-16T22:36:04.632,2.96942000E-02,baseline
2026-04-16T22:36:04.635,2.96942000E-02,baseline
2026-04-16T22:36:04.638,2.96942000E-02,baseline
2026-04-16T22:36:04.642,2.96942000E-02,baseline
2026-04-16T22:36:04.645,2.96942000E-02,baseline
2026-04-16T22:36:04.649,2.96942000E-02,baseline
2026-04-16T22:36:04.652,2.96942000E-02,baseline
2026-04-16T22:36:04.655,2.96942000E-02,baseline
2026-04-16T22:36:04.658,2.96942000E-02,baseline
2026-04-16T22:36:04.661,2.96942000E-02,baseline
2026-04-16T22:36:04.665,2.96942000E-02,baseline
2026-04-16T22:36:04.669,2.96942000E-02,baseline
2026-04-16T22:36:04.672,2.96942000E-02,baseline
2026-04-16T22:36:04.675,2.96942000E-02,baseline
2026-04-16T22:36:04.679,2.96942000E-02,baseline
2026-04-16T22:36:04.682,2.96942000E-02,baseline
2026-04-16T22:36:04.688,2.96942000E-02,baseline
2026-04-16T22:36:04.691,2.96942000E-02,baseline
2026-04-16T22:36:04.695,2.96942000E-02,baseline
2026-04-16T22:36:04.698,2.96942000E-02,baseline
2026-04-16T22:36:04.704,2.96942000E-02,baseline
