# META
module,LoRa
measurement,boot
boot_number,20
session,20260423_155418
shunt_ohms,1.1

# DATA
type,timestamp,value,boot

EVENT,reset,2026-04-23T15:58:09.364,20
METER,2026-04-23T15:58:09.368,3.55550000E-02,20
METER,2026-04-23T15:58:09.371,3.55550000E-02,20
METER,2026-04-23T15:58:09.376,3.55550000E-02,20
METER,2026-04-23T15:58:09.379,3.55550000E-02,20
METER,2026-04-23T15:58:09.382,3.55550000E-02,20
METER,2026-04-23T15:58:09.386,3.55550000E-02,20
METER,2026-04-23T15:58:09.389,3.55550000E-02,20
METER,2026-04-23T15:58:09.393,3.55550000E-02,20
METER,2026-04-23T15:58:09.396,3.55550000E-02,20
METER,2026-04-23T15:58:09.400,3.55550000E-02,20
METER,2026-04-23T15:58:09.406,3.55550000E-02,20
METER,2026-04-23T15:58:09.409,3.55550000E-02,20
METER,2026-04-23T15:58:09.418,3.55550000E-02,20
METER,2026-04-23T15:58:09.421,3.55550000E-02,20
METER,2026-04-23T15:58:09.425,3.55550000E-02,20
METER,2026-04-23T15:58:09.428,3.55550000E-02,20
METER,2026-04-23T15:58:09.431,3.55550000E-02,20
METER,2026-04-23T15:58:09.434,3.55550000E-02,20
METER,2026-04-23T15:58:09.437,3.55550000E-02,20
METER,2026-04-23T15:58:09.440,3.55550000E-02,20
METER,2026-04-23T15:58:09.444,3.55550000E-02,20
METER,2026-04-23T15:58:09.447,3.55550000E-02,20
METER,2026-04-23T15:58:09.450,3.55550000E-02,20
METER,2026-04-23T15:58:09.453,3.55550000E-02,20
METER,2026-04-23T15:58:09.457,3.55550000E-02,20
METER,2026-04-23T15:58:09.460,3.55550000E-02,20
METER,2026-04-23T15:58:09.463,3.55550000E-02,20
METER,2026-04-23T15:58:09.476,3.55550000E-02,20
METER,2026-04-23T15:58:09.480,3.55478000E-02,20
METER,2026-04-23T15:58:09.483,3.55478000E-02,20
METER,2026-04-23T15:58:09.486,3.55478000E-02,20
METER,2026-04-23T15:58:09.489,3.55478000E-02,20
METER,2026-04-23T15:58:09.492,3.55478000E-02,20
METER,2026-04-23T15:58:09.495,3.55478000E-02,20
METER,2026-04-23T15:58:09.499,3.55478000E-02,20
METER,2026-04-23T15:58:09.506,3.55478000E-02,20
METER,2026-04-23T15:58:09.509,3.55478000E-02,20
